Duration (in seconds),Q1,Q41,Q2,Q8,Q3,Q3_4_TEXT,Q42,Q43,Q20,Q21,Q46,Q49,Q50,Q53,Q55,Q44,Q45,Q9
126,30,Male,White,"Associate's degree (e.g., AA, AS)",Independent,,Work from home,"$10,000 to $39,999",Very pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,March 2021,
277,32,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Other,Socialist,"Remote Education,Work from home","$10,000 to $39,999",Very pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,June 2021,
127,28,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$80,000 to $119,999",Somewhat optimistic,Not at all,Sometimes (Less than 50% of the time),Not at all,Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Indifferent,No,August 2021,
172,35,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"Remote Education,Work from home","$40,000 to $79,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat optimistic,No,January 2021,
187,47,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Other,"$80,000 to $119,999",Indifferent,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Yes, counseling and prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",June 2021,
196,39,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Non-remote working,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Not at all,Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,February 2021,
617,44,Female,White,High school diploma or GED,Democrat,,Non-remote working,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Not at all,Not at all,Not at all,"Yes, counseling",Somewhat optimistic,No,March 2021,
197,35,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Remote Education,"$40,000 to $79,999",Somewhat optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,December 2020,
949,54,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Republican,,Work from home,"$120,000 to $159,999",Somewhat optimistic,Not at all,Rarely (Only a few times in the month),Not at all,Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Very optimistic,No,April 2021,
983,29,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Unemployed before COVID-19,"$0 to $9,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Indifferent,No,April 2021,
467,27,Male,American Indian/Alaskan Native,"Bachelor's degree (e.g., BA, BS)",Republican,,In-person Education,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Not at all,Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,January 2021,
259,27,Female,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Remote Education,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, counseling and prescription drugs",Very pessimistic,"Yes, I tested positive",February 2021,
162,29,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$80,000 to $119,999",Somewhat optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Very optimistic,No,March 2021,
1029,34,Female,Hispanic/Latino,"Bachelor's degree (e.g., BA, BS)",Independent,,Non-remote working,"$40,000 to $79,999",Somewhat optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,January 2021,
178,40,Female,"Asian,White","Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,June 2021,
350,48,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Not at all,Sometimes (Less than 50% of the time),Not at all,Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Indifferent,No,March 2021,
137,29,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Republican,,"Unemployed before COVID-19,Recently unemployed due to COVID-19","$40,000 to $79,999",Somewhat optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, prescription drugs",Very pessimistic,"Yes, I tested positive",I will decline a COVID-19 vaccination.,
1192,29,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$80,000 to $119,999",Somewhat pessimistic,Rarely (Only a few times in the month),Constantly (Nearly every day or every day),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat pessimistic,No,August 2021,
206,57,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,In-person Education,"$40,000 to $79,999",Very pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Not at all,"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Very optimistic,"Yes, I tested positive",August 2021,
151,36,Male,"Hispanic/Latino,White","Bachelor's degree (e.g., BA, BS)",Democrat,,Non-remote working,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Indifferent,No,April 2021,
229,58,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Indifferent,Not at all,Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,June 2021,
168,23,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$80,000 to $119,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,April 2021,
129,28,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$80,000 to $119,999",Indifferent,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Yes, prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",February 2021,
433,28,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"In-person Education,Unemployed before COVID-19","$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling",Somewhat pessimistic,"Maybe, I had symptoms but did not get tested",December 2020,
615,61,Male,"Asian,White","Associate's degree (e.g., AA, AS)",Republican,,Work from home,"$40,000 to $79,999",Very pessimistic,Sometimes (Less than 50% of the time),Not at all,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,February 2021,
272,47,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,In-person Education,Recently paused/terminated education to COVID-19 related reasons,Work from home","$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Yes, counseling",Somewhat optimistic,"Maybe, I had symptoms but did not get tested",December 2021,
273,39,Male,"American Indian/Alaskan Native,White",High school diploma or GED,Democrat,,Work from home,"$200,000 to $249,999",Indifferent,Sometimes (Less than 50% of the time),Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,March 2021,
639,63,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,April 2021,Moderately interested (3)
210,37,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Very pessimistic,Sometimes (Less than 50% of the time),Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Very pessimistic,"Yes, I tested positive",February 2021,
128,47,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$160,000 to $199,999",Somewhat optimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
1331,37,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Work from home,Recently unemployed due to COVID-19","$80,000 to $119,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)","Yes, counseling",Very optimistic,"Yes, I tested positive",December 2020,
170,32,Male,White,"Associate's degree (e.g., AA, AS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Not at all,Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Indifferent,No,August 2021,
243,24,Female,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Indifferent,Not at all,"Frequently (Every other day, 50% of the time or more)",Not at all,Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Somewhat optimistic,No,I will decline a COVID-19 vaccination.,
975,36,Male,White,Some college credit,Democrat,,Non-remote working,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"Yes, counseling",Somewhat pessimistic,No,April 2021,
78,28,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,In-person Education,"$80,000 to $119,999",Very optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",January 2021,
515,24,Female,White,"Associate's degree (e.g., AA, AS)",Republican,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,April 2021,Very interested (2)
236,39,Female,White,Some college credit,Democrat,,Work from home,"$10,000 to $39,999",Indifferent,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,I will decline a COVID-19 vaccination.,
567,62,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Very optimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, counseling",Very optimistic,"Yes, I tested positive",March 2021,
101,29,Male,White,Some college credit,Republican,,Non-remote working,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Indifferent,No,March 2021,
228,34,Female,Black/African American,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Non-remote working,"$40,000 to $79,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Indifferent,No,I will decline a COVID-19 vaccination.,Moderately interested (3)
273,27,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,January 2021,Moderately interested (3)
202,28,Other/Prefer not to say,Black/African American,Some college credit,Democrat,,Prefer not to say,"$40,000 to $79,999",Indifferent,"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Indifferent,No,I will decline a COVID-19 vaccination.,
39,34,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Recently unemployed due to COVID-19,"$40,000 to $79,999",Very optimistic,Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Very pessimistic,"Yes, I tested positive",April 2021,
87,25,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$120,000 to $159,999",Indifferent,Rarely (Only a few times in the month),Constantly (Nearly every day or every day),Sometimes (Less than 50% of the time),Not at all,"No, but thinking about seeking such services in the near future",Indifferent,"Maybe, I had symptoms but did not get tested",February 2021,
254,37,Female,White,High school diploma or GED,Independent,,Work from home,"$80,000 to $119,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Somewhat optimistic,"Maybe, I had symptoms but did not get tested",December 2021,
593,29,Male,White,High school diploma or GED,Republican,,In-person Education,"$40,000 to $79,999",Indifferent,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Not at all,"Yes, counseling and prescription drugs",Somewhat optimistic,No,January 2021,
249,27,Female,Hispanic/Latino,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Republican,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling",Very pessimistic,"Yes, I tested positive",I will decline a COVID-19 vaccination.,
247,58,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Very pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Very pessimistic,"Yes, I tested positive",December 2020,
319,43,Female,Hispanic/Latino,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Not at all,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Somewhat pessimistic,"Maybe, I had symptoms but did not get tested",February 2021,
184,46,Male,White,High school diploma or GED,Republican,,Non-remote working,"$10,000 to $39,999",Somewhat pessimistic,Not at all,Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Indifferent,No,I will decline a COVID-19 vaccination.,Moderately interested (3)
152,26,Female,Asian,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$80,000 to $119,999",Somewhat pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Yes, counseling",Somewhat pessimistic,No,August 2021,
311,34,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,In-person Education","$80,000 to $119,999",Somewhat pessimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat pessimistic,No,January 2021,
2433,70,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
173,39,Male,Hispanic/Latino,"Bachelor's degree (e.g., BA, BS)",Republican,,"Work from home,Non-remote working","$80,000 to $119,999",Indifferent,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Indifferent,No,I will decline a COVID-19 vaccination.,
1242,38,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Not at all,"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,February 2021,
446,30,Female,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,"No, and not thinking about seeking such services in the near future",Very optimistic,No,January 2021,
116,38,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Non-remote working,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,"Maybe, I had symptoms but did not get tested",I will decline a COVID-19 vaccination.,
186,38,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Non-remote working,"$40,000 to $79,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Very pessimistic,No,November 2021,
189,33,Male,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Yes, counseling",Somewhat optimistic,No,April 2021,
89,30,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,I will decline a COVID-19 vaccination.,
158,37,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Not at all,Not at all,"Yes, counseling and prescription drugs",Somewhat pessimistic,No,April 2021,
207,58,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Non-remote working,"$40,000 to $79,999",Somewhat optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,February 2021,
113,34,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,In-person Education","$80,000 to $119,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,December 2020,
103,24,Other/Prefer not to say,"Asian,Prefer not to say",High school diploma or GED,Republican,,Prefer not to say,"$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),Constantly (Nearly every day or every day),"Yes, counseling",Indifferent,"Maybe, I had symptoms but did not get tested",April 2021,
388,30,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,January 2021,
88,39,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Non-remote working,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,June 2021,
380,39,Male,Black/African American,High school diploma or GED,Independent,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,I will decline a COVID-19 vaccination.,
177,49,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$80,000 to $119,999",Very optimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Very pessimistic,No,March 2021,
2839,24,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Very optimistic,No,April 2021,Very interested (2)
61,49,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Remote Education,"$40,000 to $79,999",Very pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat optimistic,"Yes, I tested positive",Some time in 2022 or later,
165,44,Female,Hispanic/Latino,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Somewhat optimistic,No,July 2021,
267,28,Female,White,High school diploma or GED,Independent,,Work from home,"$80,000 to $119,999",Somewhat pessimistic,Not at all,Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Somewhat optimistic,"Yes, I tested positive",September 2021,
194,27,Male,White,High school diploma or GED,Other,Green,Work from home,"$10,000 to $39,999",Very pessimistic,Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Very pessimistic,No,Some time in 2022 or later,
96,26,Male,Asian,"Associate's degree (e.g., AA, AS)",Independent,,Work from home,"$40,000 to $79,999",Very pessimistic,Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Very pessimistic,No,January 2021,Extremely interested (1)
847,40,Female,White,Some college credit,Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Indifferent,No,June 2021,
639,24,Female,Asian,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Non-remote working,"$40,000 to $79,999",Very pessimistic,"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Very pessimistic,"Maybe, I had symptoms but did not get tested",September 2021,
2084,26,Male,White,"Associate's degree (e.g., AA, AS)",Independent,,"Remote Education,Work from home","$80,000 to $119,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Indifferent,No,I will decline a COVID-19 vaccination.,
175,46,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Very optimistic,No,June 2021,
155,54,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Remote Education,"$10,000 to $39,999",Very optimistic,Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Yes, counseling and prescription drugs",Very optimistic,"Yes, I tested positive",December 2020,
205,32,Male,White,High school diploma or GED,Independent,,Recently unemployed due to COVID-19,"$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Somewhat pessimistic,"Maybe, I had symptoms but did not get tested",February 2021,
205,30,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),Not at all,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Yes, counseling",Very pessimistic,"Yes, I tested positive",I will decline a COVID-19 vaccination.,
145,55,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,Recently unemployed due to COVID-19","$120,000 to $159,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,"Yes, I tested positive",December 2020,
148,35,Other/Prefer not to say,White,Some college credit,Democrat,,Prefer not to say,"$40,000 to $79,999",Very pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,August 2021,
